sample_id	index	frac_genome	type
SA604-ALL	0.235127478753541	16536	DNA
SA604-ALL	0.235599622285175	16536	DNA
SA604-ALL	0.236071765816808	16536	DNA
SA604-ALL	0.236543909348442	16536	DNA
SA604-ALL	0.237016052880076	16536	DNA
SA604-ALL	0.237488196411709	16536	DNA
SA604-ALL	0.237960339943343	16536	DNA
SA604-ALL	0.238432483474976	16537	DNA
SA604-ALL	0.23890462700661	16537	DNA
SA604-ALL	0.239376770538244	16537	DNA
SA604-ALL	0.239848914069877	16537	DNA
SA604-ALL	0.240321057601511	16537	DNA
SA604-ALL	0.240793201133144	16537	DNA
SA604-ALL	0.241265344664778	16537	DNA
SA604-ALL	0.241737488196412	16537	DNA
SA604-ALL	0.242209631728045	16537	DNA
SA604-ALL	0.242681775259679	16538	DNA
SA604-ALL	0.243153918791313	16538	DNA
SA604-ALL	0.243626062322946	16538	DNA
SA604-ALL	0.24409820585458	16538	DNA
SA604-ALL	0.244570349386213	16538	DNA
SA604-ALL	0.245042492917847	16539	DNA
SA604-ALL	0.245514636449481	16539	DNA
SA604-ALL	0.245986779981114	16539	DNA
SA604-ALL	0.246458923512748	16539	DNA
SA604-ALL	0.246931067044382	16539	DNA
SA604-ALL	0.247403210576015	16539	DNA
SA604-ALL	0.247875354107649	16539	DNA
SA604-ALL	0.248347497639282	16539	DNA
SA604-ALL	0.248819641170916	16539	DNA
SA604-ALL	0.24929178470255	16539	DNA
SA604-ALL	0.249763928234183	16539	DNA
SA604-ALL	0.250236071765817	16539	DNA
SA604-ALL	0.25070821529745	16540	DNA
SA604-ALL	0.251180358829084	16540	DNA
SA604-ALL	0.251652502360718	16540	DNA
SA604-ALL	0.252124645892351	16540	DNA
SA604-ALL	0.252596789423985	16540	DNA
SA604-ALL	0.253068932955618	16540	DNA
SA604-ALL	0.253541076487252	16540	DNA
SA604-ALL	0.254013220018886	16540	DNA
SA604-ALL	0.254485363550519	16541	DNA
SA604-ALL	0.254957507082153	16541	DNA
SA604-ALL	0.255429650613787	16541	DNA
SA604-ALL	0.25590179414542	16541	DNA
SA604-ALL	0.256373937677054	16541	DNA
SA604-ALL	0.256846081208687	16541	DNA
SA604-ALL	0.257318224740321	16541	DNA
SA604-ALL	0.257790368271955	16541	DNA
SA604-ALL	0.258262511803588	16541	DNA
SA604-ALL	0.258734655335222	16541	DNA
SA604-ALL	0.259206798866856	16541	DNA
SA604-ALL	0.259678942398489	16541	DNA
SA604-ALL	0.260151085930123	16541	DNA
SA604-ALL	0.260623229461756	16541	DNA
SA604-ALL	0.26109537299339	16541	DNA
SA604-ALL	0.261567516525024	16542	DNA
SA604-ALL	0.262039660056657	16542	DNA
SA604-ALL	0.262511803588291	16542	DNA
SA604-ALL	0.262983947119924	16542	DNA
SA604-ALL	0.263456090651558	16542	DNA
SA604-ALL	0.263928234183192	16542	DNA
SA604-ALL	0.264400377714825	16542	DNA
SA604-ALL	0.264872521246459	16542	DNA
SA604-ALL	0.265344664778093	16543	DNA
SA604-ALL	0.265816808309726	16543	DNA
SA604-ALL	0.26628895184136	16543	DNA
SA604-ALL	0.266761095372993	16543	DNA
SA604-ALL	0.267233238904627	16543	DNA
SA604-ALL	0.267705382436261	16543	DNA
SA604-ALL	0.268177525967894	16544	DNA
SA604-ALL	0.268649669499528	16544	DNA
SA604-ALL	0.269121813031161	16544	DNA
SA604-ALL	0.269593956562795	16544	DNA
SA604-ALL	0.270066100094429	16544	DNA
SA604-ALL	0.270538243626062	16544	DNA
SA604-ALL	0.271010387157696	16545	DNA
SA604-ALL	0.27148253068933	16545	DNA
SA604-ALL	0.271954674220963	16545	DNA
SA604-ALL	0.272426817752597	16545	DNA
SA604-ALL	0.27289896128423	16545	DNA
SA604-ALL	0.273371104815864	16546	DNA
SA604-ALL	0.273843248347498	16546	DNA
SA604-ALL	0.274315391879131	16546	DNA
SA604-ALL	0.274787535410765	16546	DNA
SA604-ALL	0.275259678942399	16546	DNA
SA604-ALL	0.275731822474032	16546	DNA
SA604-ALL	0.276203966005666	16546	DNA
SA604-ALL	0.276676109537299	16546	DNA
SA604-ALL	0.277148253068933	16547	DNA
SA604-ALL	0.277620396600567	16547	DNA
SA604-ALL	0.2780925401322	16547	DNA
SA604-ALL	0.278564683663834	16547	DNA
SA604-ALL	0.279036827195467	16547	DNA
SA604-ALL	0.279508970727101	16547	DNA
SA604-ALL	0.279981114258735	16547	DNA
SA604-ALL	0.280453257790368	16547	DNA
SA604-ALL	0.280925401322002	16547	DNA
SA604-ALL	0.281397544853635	16547	DNA
SA604-ALL	0.281869688385269	16548	DNA
